Prompt,Completion
Hand & Arm Massage Ouches,"Hand & Arm Massage Ouches
There are several ""Ouches"" that you might encounter when offering a Molton Brown Hand & Arm Massage services to your customers.

However, we want to assure you that there are plenty of ways to ""Eliminate those Ouches!""

Click on each image below for more detailed information:

The Pandemic
Some customers may not feel ready to experience a Hand & Arm Massage. That's fine - reassure them that they can book the service in the future once they are feeling more relaxed and comfortable with the idea.

You can also discuss the Me Time Hand & Arm Massage where you can match and mirror your customer by conducting a Hand & Arm Massage with them at the hub. We will go over how you can offer this service to your customers later in this module.


No Time
One of the Ouches we hear often is that it is too busy in store or there isn't enough time to conduct a Hand & Arm Massage. This tends to be the case for Outlets and Wholesale stores. However, we have come up an express, 'no water, no problem' Hand & Arm Massage. This can be conducted in any location to surprise and delight your customers.

Similarly, the Hand & Arm Massage is broken down into steps and techniques so you can adapt it to the amount of time you and your customer has.


Technique
One common Ouch is that we may be reluctant to carry out a Hand & Arm Massage as we are unsure of the correct techniques to use to effectively conduct the massage. This can be unsettling for you and for your customer.

You will get a full breakdown of the Hand & Arm Massage techniques with videos and additional tools to support you when offering and carrying out these service signatures.


Gender
We understand that at times some customers may feel uncomfortable receiving a Hand & Arm massage from a member of the perceived opposite sex, but there are ways around this. Do not feel offended - it could be because of somebodies religious beliefs or personal experiences.

Ask the customer if they feel comfortable to proceed with you, and if they don’t... You can see if another member of the team is available to conduct the service.

In addition to the common Ouches in our stores, you may have your own personal reasons for not wanting to conduct a Hand & Arm Massage.

Personal Ouches

The Pandemic 
You may feel that you are not ready to complete a hand & arm massage. That may be the case but we still need to make our customers aware that we have now introduced this service experience and it is available when they feel ready to do so. There are currently no regulations preventing cosmetic or beauty treatments from taking place.

Please discuss with your line manager if you need additional support.	


Gender
We understand that at times some customers may feel uncomfortable receiving a Hand & Arm massage from a member of the opposite sex and similarly there may be members of the team who feel uncomfortable too. There are ways around this. If you feel uncomfortable to proceed with a service - then speak to your manager discreetly and maybe partner up with someone to share the role of conducting a Hand & Arm Massage.
Confidence 	


Ouches Eliminated
One of the most common ouches is that individuals within a team are reluctant to carry out a hand & arm massage as they are unsure if they are doing the service correctly and using the right technique.

By completing this learning and practicing the techniques regularly in your store with colleagues will ensure that you build your confidence.

There might be other ouches that you can identify. Discuss these with your line manager so that they can provide you with the tools you need to eliminate them.



"
WOW with Technique,"Hand & Arm Massages
Menu
Click on each arrow below to discover the techniques for each type of Hand & Arm Massage experience:

Walk In Hand & Arm Massage
Watch the video below to understand step-by-step the techniques used during a Walk In Hand & Arm Massage.

Once you have watched the video, practice with a fellow team member to develop your skills.

A Walk-In Hand & Arm Massage should last 5-10 minutes.

During a Walk-In experience, you will massage and demonstrate our products on only one of the customers arms. This enables the customer to see and smell the benefits of layering products.

If your customer has loved their experience, they will most likely ask you to do their other arm too! This is a good thing - it means they are happy and are likely to purchase.

If both you and they have time, conduct the Hand & Arm Massage on their other arm too.

Video Player


As you would have seen in the video, the 'Up and Over Technique' in the Nourish step can look a little simple unless done correctly.

Below shows you how to apply pressure with your fingers and thumb when completing this technique to ensure an effective massage is given to the customer.



When you are working your way up the arm, apply pressure to the outside of the arm with your four fingers. Imagine your hand is like a claw. Your entire palm and fingers should be in contact with the customers arm at all times.



When you are working your way down the arm, apply pressure with your thumb down the other side of the arm. This will ensure all aspects of the muscle are massaged.



The video below helps demonstrate this...




Bookable/Elevated Hand & Arm Massage
Watch the video below to understand step-by-step the techniques used during a Bookable/Elevated Hand & Arm Massage.

This technique can also be used during events, layered with Edutainment.

Once you have watched the video, practice with a fellow team member to develop your skills.

A Bookable/Elevated Hand & Arm Massage should last 10-20 minutes.

Ensure you conduct the experience on only one of your customers arms first to allow them to see and smell the benefits of layering products. Once you have done this, complete the Cleanse, Exfoliate, Nourish and Fragrance on the customers other arm too.

Video Player


To read the step by step Hand & Arm Massage Guide for an elevated or Bookable experience, click the download button.

We have also provided you with a glossary for all of the techniques mentioned so you can study and practice these and keep them for future reference in your staff file.


No Water? No Problem!
We mentioned previously that not having running water or a hub might be an ouch for conducting a Hand & Arm Massage... however at Molton Brown, all customers should have the chance to receive a luxury service, regardless of which store they enter!

To help those who do not have a hub or running water, we have created a video to show you how you can still conduct a Hand & Arm massage.

Luckily, the technique is exactly the same for everyone so there is nothing new to learn! Just the products are amended to suit what you have available in your location.

Video Player

If you would like to watch each technique individually you can also click the arrows below to take you to the step by step videos.

This is not mandatory, however you can use these videos if you feel you need to.

Once you have finished viewing the videos, please click the Edutainment Tools button.

Cleanse
Exfoliate
Nourish
Fragrance
Circular Massage
Cuticles & Webbing
Butterfly Technique






"
Hand & Arm Massages Last Impressions,"Last Impressions
Menu
Creating a fantastic lasting impression is one of the FLOW philosophies you will be familiar with.

Delivering a great lasting impression can be a deciding factor as to whether the customer will shop with you again or not, and isn't necessarily carried out in the final moments spent with your customer. Always be aware of what you say and do throughout the customers journey.

Below we outline a few examples of how to deliver a positive lasting impression during a Hand & Arm Massage:

Passion

Being knowledgeable about or products is one thing, but being passionate about them and your role at Molton Brown is what customers will really connect with and remember!



Always find the positive in a fragrance collection or product, even if it isn't your personal favourite. Our role as fragrance experts is to encourage customers to express themselves.


Engaged
We know at times your stores are busy and you might even be short staffed. You may have a delivery to process or an unexpected visit from your Area Manager

But remember...
The Customer Comes First.

If a customer has booked in for an experience, ensure that everything is done in your control to stay engaged with them, build rapport and continue to stay connected to ensure they get the most from the service you are conducting.

We do not want our customers to feel like they are getting in the way!


Top Tips
Customers love to learn something new - whether that is a technique that they can perform themselves at home or learning something fascinating about our heritage.
This is the difference between a scripted service and a personal service - share your top tips with your customers during a Hand & Arm massage using the edutainment tools as your reference.


Now that you have seen some examples of things to consider to deliver a fantastic lasting impression with your customers...


What other ways can you create a fantastic Lasting Impression?
Think about other ways you believe you can create a great lasting impression with your customers:



"
Hand & Arm Massages First Impressions,"First Impressions
Menu
Hand & Arm Massage - First Impressions
Whether your customer is a new or regular Molton Brown shopper, offering them a Hand & Arm Massage is an excellent way to establish rapport and a fantastic first impression.

Did you know?
Touch creates symbolic connections between people and products, and between buyers and sellers.

Physically holding products can create a sense of psychological ownership, driving must-have purchase decisions!

There are various customer types that you will encounter on any given day.

We have identified four common customer types and how you can offer both a walk in and bookable/elevated Hand & Arm massage to them.

Click on each image below to learn more:


""I know what I want""
Just because this customer says they know what they want - doesn't mean they wouldn't be interested in trying a product on their skin, or experiencing other collections they might enjoy.

This customer type can sometimes come across quite dismissive - Perhaps it could be because of time constraints or because they have been sent in to purchase a product for someone else.

A good way to get around this is to start the conversation with some of the words below:

""I can see...""

""Did you know...""



For example:

""I can see you are stocking up on our Re-charge Black Pepper B&SG. Did you know, this collection now includes an Eau de Parfum and Eau de Toilette, do you have 5 minutes to try it for yourself?""

(If your customer is male, keep it simple and introduce the fragrance as an aftershave)



Simply asking your customer if they have a few minutes to try a product on their skin could result in them actually spending more time with you and increases the chances of them making a purchase!

If they don't have the time, this is when you can use one of your Bounce Back Invitations to invite them in again when they have more time to indulge.

""I need some help""
These are fantastic customers!

As they have expressed that they need some help or advice from you, they are generally more willing to spend time experiencing the products and listening to what you have to tell them.

This is the perfect time to utilise the Universal Profiling Questions!

Once you have established their needs using our UPQ's, ask the customer, ""Why not take the opportunity to indulge in a decadent Hand & Arm Massage? It is the perfect way to experience our products""

Listen closely to any exciting event opportunities a customer might drop into conversation such as upcoming birthday's, weddings etc. as you could potentially host a bespoke VIP event for this customer and boost your KPI's!

""I'm just browsing""
Browsing customers can generally come across as quite abrupt and dismissive towards you.

Sometimes a customer is browsing just to pass time whilst they are waiting for somebody or something. Other times they might be browsing to get gift ideas for themselves or others, but one fact remains, they have walked into your store for a reason. Don't miss a potential sales opportunity!

This is another opportunity to engage with a Universal Profiler Question such as

""What do you know about Molton Brown?""

This opens up the doors of possibility to find out if they have used and experienced our products before. Why not say: ""Just to let you know I am available to deliver a Hand & Arm Massage today and introduce you to our Molton Brown fragrance collections and their benefits""

""I'd like a fully immersive experience""
Fantastic!

These customers are fanatics about Molton Brown and would probably be part of your team if they could! They have a wealth of knowledge of past and current collections and love nothing more than getting to be amongst the first to experience and buy new collections.

Fully immersive customers make themselves known by taking products to the basins to try, using the fragrance testers and usually ask about our services.

Invite these customers to enjoy an elevated Hand & Arm Massage if they have the time - highlighting that they have been significantly elevated.

As these customers love to feel extra-special, why not handwrite them an invitation to an upcoming store event or an elevated Fragrance Consultation?



Setting the scene means to create the conditions in which something can happen.

It is crucial to creating a great First Impression for your customers, whether it is a quick 5-10 minute Hand & Arm Massage or a bookable/elevated fully immersive experience.

Ensuring we are fully prepared for the day will ensure smooth service for the customer and yourself!

Follow the steps below to setting the scene:

Testers



Are your product testers suitably full for use?

There is nothing worse than trying to showcase a product that is nearly empty!

Make sure all testers are ready to be used by your team and customers at the start of each day.

If another tester needs to be created, speak to a member of management.





Water & Basins



At the start of each day, ensure that there is hot water running to the basin sinks*.

If not, raise this with a manager to ensure it is fixed.

If your basins do not have hot water, not to worry - half fill them with cold water and mix with warm water from the taps back of house.

Remember to run taps for 5 minutes each day to eliminate the potential of legionella.

*Only applicable to stores with basins.


Towels



Whether you are using paper napkin towels or premium cotton towels, ensure that you have enough in stock and laundered ready for use each day.

Towels should look and feel luxurious - even paper napkins.

If you need more paper napkins, please speak to your manager who will be able to order more.



Refreshments



If you are offering your customers a refreshment, ensure that you have the drink available to serve them and that it is chilled - there is nothing worse than warm bubbly!

Remember to ask your customer if they have any dietary requirements so that you can check for them on the ingredients on the side of the bottle.

Usually, most customers are quite content with a glass of still or sparkling water, or even a cup of coffee.

Consider your staff in store - can you leave the shop floor for several minutes to fetch a cup of coffee? Only offer what is feasible for a seamless customer experience.



Techniques



Finally, you need to ensure that you have practiced and are confident in the techniques used to differentiate between a walk-in Hand & Arm Massage to those used in a bookable/elevated experience.

We want you to feel positive about carrying out every Molton Brown Service Signature with your customers.

If after this module you still feel you require additional support, speak to your manager who will guide you through the techniques.


Before you begin your Hand & Arm Massage, walk your customer through the collections asking them a series of Universal Profiler Questions to identify their needs. Through this you can determine which collections to introduce and use whilst carrying out the Hand & Arm Massage.

Click each button below to learn about other ways to help set the scene:

Prepare the Hub



Once you have selected the products with your customer, ensure that they are open and ready to be used throughout the service.

Top tip: Position the products in a line in the order you are going to apply them to your customers skin.

Ensure you have a full supply of paper towels to use. Be prepared and unfold two paper towels before you start the service


Fragrance Arc



Before you begin delivering the Hand & Arm Massage with your customer, Let them know you are going to place a towel over their lap for protection.

Spray an arc of the chosen Eau de Parfum or Eau de Toilette in a halo above the hub. This will gently scent the space and fully immerse yourself and the customer in olfactive bliss.


Jewellery



If you or your customer are wearing jewellery such as rings or bracelets, we do advise that you politely ask them to be removed.

Product such as the body polisher can get caught in any grooves and you could catch the palm of your hands on any sharp edges.

Suggest to your customer that they place their items on a napkin in front of them to keep a close eye on, or of course, they can put their belongings in their bag for safe-keeping.

If you are wearing rings, store them safely until after the service is complete.






"
Hand & Arm Massages,"Hand & Arm Massages
Menu
Hand & Arm Massages
As one of our Signature Services, our luxurious Hand & Arm Massages are a wonderful way for our customers to fully experience the benefits of our products whilst being fully pampered in the olfactive world of Molton Brown.




The Services
Menu
What are the Hand & Arm Massage Services?
We can offer our customers the opportunity to experience Molton Brown products during an express 5-10 minute Hand & Arm Massage or indulge them further with a fully immersive 15-20 minute experience.

Click on each image below for a brief overview of each service:

Walk In

You will be most familiar with Walk In customers and engaging with them already.



Now you can invite them to experience our products and potentially find new favourites as we guide them through an indulgent ritual whilst explaining the benefits behind each one.



Walk In consultations should last between 5 and 10 minutes and are an opportunity to show a selection of at least 3 products.



You will learn more about this service and the techniques very soon!


Bookable/Elevated



Through a Bookable/Elevated Hand & Arm Massage experience, our customers can indulge in a moment of 'Me Time' as they learn about our collections and products. Professionally guide them through the Molton Brown ritual whilst explaining the benefits behind each step.



Bookable/Elevated consultations should last between 15 and 20 minutes and can be conducted whenever you and the customer have time. If your customer has walked into your store and you both have time, you can conduct a Bookable/Elevated Hand & Arm Massage - they do not have to book in to receive this experience.



You will learn more about this service and the techniques very soon!






"
Service Signatures Introduction,"
Molton Brown Service Signatures
Hello Knapper,Jonathan

Welcome to the Molton Brown Service Signatures training module - A training module here to provide you with all of the information, tools and techniques to delivering a fantastic Molton Brown Experience in store.

Those that have attended the workshops, this training module will help support you with your team training on our service signatures in store, therefore, this is a supporting course only and is non-mandatory.

Take it at your own pace and use the menu in the top right corner to focus on the areas you really need to work on. There is no requirement to complete 100% of this module.

We look forward to seeing all stores conducting the new Service Signatures and really elevating that Molton Brown Experience.


Why are we elevating our Service Signatures?


At Molton Brown we want to elevate and enhance our current service signatures to further establish our credentials as a truly experiential and luxury brand.

An overview of the elevated Service Signatures
The world of retail has changed rapidly in the past couple of years, with customers drawn to a more experiential retail environment. To ensure that we stay relevant amongst our competitors in the market, we have elevated our service signatures. From Hand & Arm massage techniques to fragrance consultations we have ensured these experiences are memorable and encourage Customer Lifetime Value.

Click on each icon below to learn more about some of the elevated changes:



Hand & Arm Massages
We have completely revamped our Hand & Arm Massages which have been adapted for both time-conscious walk-in customers and those looking for an indulgent treat via a bookable service.

For those of you who have been with Molton Brown for a while, you will undoubtedly notice some of the different ways in which we have elevated these experiences.



Fragrance Consultations
As part of our mission to be recognised as a fragrance first retailer, we have reviewed our current fragrance consultation proposition and re-worked it to include a blend of education and entertainment to enhance the customers experience. We have also provided YOU with some exciting tools to achieve this.




Edutainment
What is Edutainment?

Edutainment is a method to entertain whilst educating our customers on our products, our brand and provides them with a fully immersive experience that showcases your skills and your knowledge of Molton Brown.

We have created a set of tools covering everything from our heritage, sustainability credentials, iconic products and even how the sense of smell works. Each tool is broken down into small points to enable bite size learning.

We know that our customers love to experience our products but also learn about them too - remember, it is the benefits of a product that helps to sell it!



Events
In-store events and activities are incredibly important to encourage customer interaction, sales growth and customer life time value.

We have in the past focused on hosting events only when new products are released. To relinquish our dependence on new collections, we have reviewed our eventing proposition so that you are empowered to host an event with any iconic collection, whenever you choose.



Why do I need to know about the elevated Service Signatures?
As an employee of Molton Brown, it is an essential part of your job to deliver the FLOW philosophy with every customer that walks into your store.

This includes conducting Hand & Arm Massages and Fragrance Consultations.

This helps to build brand trust and loyalty and ensures that we are continually recognised as a luxury brand.

Click on each image below to learn more about why you need to actively promote the Molton Brown Service Signatures:

Luxury Experience

Offering your customer the opportunity to enjoy an indulgent hand & arm massage to learn about and experience our products is the pinnacle of luxury service.


Consistent Service

We want to ensure that whether a customer walks into one of our stand alone stores, an outlet or even a wholesale door, the experiences delivered are as consistent in technique as possible.


This will also help you build your confidence in delivering the various techniques required for each of the services.


KPIs

Of course, whilst offering luxurious services to our customers to enjoy, our products help to set us apart from some of our competitors - they are also a sales technique to help boost our KPIs.

Once a customer gets to feel and experience the product on their skin, they have made a physical connection to the product and begin to desire them once they understand the benefits and value of each product used.
"
Fragrance Deconstructed,
Rose Dunes Summary,
Do you want to be remembered,
The Rose Dunes Collection,"Discover the Ambery Floral Fragrance Family
Let's identify which primary and secondary fragrance families that Rose Dunes belongs to.

This will help you to understand its olfactive profile and also give you ideas as to what other fragrances to suggest to your customer.

Click on each cross below to learn more.

Primary - Ambery
Defined as warm, opulent and mysterious, ambery fragrances are originally built around raw materials such as ambergris and musk, combined with woody, tobacco, spicy and marine facets. With access to synthetic ingredients, contemporary ambery perfumes are softer, usually featuring vanilla, labdanum, cinnamon, pepper or oudh accord.


Secondary - Floral/Rose
One of the most popular and ancient families in perfume history. As its name implies, flowers take centre stage to create a fragrant bouquet with blossoms such as rose, jasmine, violet, iris, lily, lily of the valley, narcissus or tuberose.

Rose Dunes is classed as more of a Rose fragrance due to the prominence of both romantic rose and rose-like geranium.


Using your knowledge of our fragrances and the families, what other fragrance could you suggest to your customer if they like Rose Dunes?
Please select one fragrance below:


Mesmerising Oudh Accord & Gold


Coastal Cypress & Sea Fennel


The Eau de Toilette is a celebration of rose with rich cassis that glistens at the top, softened by intimate saffron and velvety rose.


The earthy-mossy base is deepened by patchouli and pulses of resinous amber.



The Eau de Parfum is an addictive fragrance that is hypnotic.

Fresh Madagascan pepper and ginger is wrapped by a dark bloom of rose. An addictive oudh accord awaits in the lingering base of sandalwood, musk and vetiver.

Fragrance Facts
Concentrations
Flip
The Eau de Parfum contains 20% fragrance oil meaning that it will last on a persons skin for up to 8 hours. For added longevity, explain the benefits of layering with the matching body lotion.



The Eau de Toilette is much lighter by design and is meant to be applied liberally for an instant ambery top-up!


Notes

There are two notes that are important for different reasons in the fragrance collection.



Signature note - Patchouli Sulawesi

Perfumer Philippe has overdosed the Patchouli note for added depth, sensuality and earthiness in the Eau de Parfum.



Overarching note - Rose

The rose note used throughout the entire collection is rich, velvety and romantic.


Resin Cap

he unique resin cap design is inspired by the rich colours found in a sunset over the sand dunes of the Arabian desert.



"
Test your rose dunes knowlwdge,
Avoid the road blocks,
Meet The Perfumer,"
Completed


Please close the browser window to continue your Rose Dunes learning journey...

"
Home knowledge test,
A guide to scenting the home,
Home collecting gifting,
Home accessoriess,
Aroma reeds,
Candles,
"Home restage
The NEW Home Fragrance Collection","From candles to aroma reeds - our new Home Collection is filled with beautiful, scented objects as elegant as they are expertly created, we’ve thought of every little detail to transform your house into a sanctuary.



Our Scented Candles and Aroma Reeds have been carefully reformulated with higher fragrance concentrations for an exceptional experience.

These come in a selection of our best-loved, award-winning Fragrances to set an uplifting, refreshing or relaxing ambience.



Let's discover why scenting our homes has become more important than ever...

The Home Sanctuary


In 2020, due to the pandemic, much of the world suddenly had to adapt to a new way of working - with many people working from their homes instead of office environments.

Because of this, an increasing number of people wanted to make their home a comfortable sanctuary to live and work in.

In August 2020, The Times newspaper reported that candle sales at Selfridges increased by 54% since March 2020, while candle sales at Diptyque increased by 100% year on year.

With a new way of working here to stay, we anticipate the demand for beautifully scented spaces to continue to grow...



Below are some interesting statistics on fragrance and home scenting that were a direct result of the impact of COVID-19 restrictions.

56% of consumers took comfort in scents more than they did before Covid-19 lockdowns!

The pandemic resulted in fewer occasions for personal fragrances to be worn, but increased the demand for home fragrances.

The demand for home scenting increased drastically, with consumers happy to spend considerable sums on candles & aroma reeds to scent their homes with.




With the increasing popularity to showcase objects of desire on social media, combined with spending more time at home, consumers are drawn to items that are aesthetically pleasing as well as practical for their purpose.

The need for packaging goes beyond its initial purpose, with customers wanting to repurpose the vessels and display them on shelves or coffee tables.



Read the three key pillars below that helped guide us with the design of our Home Collection restage.

More Than A Candle

Luxury home fragrances are required to go beyond their first function with elevated packaging and reinvented formats to keep customers engaged.

With this in mind, we decided to revamp our Home Collection with a timeless, sleek and minimal design that anyone would be proud to showcase in their home.

Repurpose

As more of us stayed at home due to lockdown demands, we were suddenly faced with the reality of how much waste we generate.

Our new home collection's outer packaging has been massively reduced and the new design encourages customers to repurpose their vessels and do their part in reducing their environmental impact!

From Office to Bedroom

For the majority, switching off from working at home can be difficult.

Finding ways to create a separation between work and home are limited. It is incredibly important to create a feeling of sanctuary and relaxation - and home scenting plays a huge part in being able to do this and transport us to other places and times!

Our 3 key objectives
Strengthen our Home Category through a new elevated design and home accessories with improved product & fragrance performance.

Increase our category productivity by focusing our offer on best selling fragrances and covering key olfactive families for the Home Fragrance Category.

Continue building our ESG (Environmental Social Governance) credentials through sustainable packaging and refillable solutions.



We want to know what you think will excite your customers the most about the new home restage!
Write below what you think your customers will be drawn to with the new home collection in the box below and press submit.

"
Hair Care - Recommendations,
Mothers Day 2022 Bespoke Gifting,"Creating a fantastic Last Impression
he perfect finishing touch to a customers journey at Molton Brown is walking away with fond memories of their in store expereince.

The are many ways in which you can delight and surprise your customers.

"
Mothers Day 2022 - Last Impressions,
Mothers Day 2022,
Your learning journey check In - 2,
Your learning journey check In ,
Delicious Rhubarb & Rose - last impression,
Delicious Rhubarb & Rose - fragrance family,
Delicious Rhubarb & Rose - the full collection,
Delicious Rhubarb & Rose -wow facts,
Delicious Rhubarb & Rose -end of module test,
Delicious Rhubarb & Rose - eliminating the...,
Delicious Rhubarb & Rose - EDP and EDT,
Delicious Rhubarb & Rose - An introduction,
Closing video - R & R,
Michael intro video 2 R & R,
Michael intro video,"Welcome to the Delicious Rhubarb & Rose Training Module
To achieve 100% in each section and move on to the next step, make sure you read, watch, listen and interact with everything included in this training module.

"
Re-charge Black Pepper Quiz,
Re-charge Black Pepper,
Bespoke Gifting,
Fiery Pink Pepper Quiz,
Fiery Pink Pepper ,
Introduction Video,"Welcome to the Delicious Rhubarb & Rose Training Module
To achieve 100% in each section and move on to the next step, make sure you read, watch, listen and interact with everything included in this training module.

"
MB1019_Customer Experience_CX Library_Festive Frankincense & Allspice_01,"Festive Frankincense & Allspice
Inviting. Festive. Timeless.
Created by Senior Perfumer Nathalie Koobus, this woody-spicy fragrance evokes cosy wintertime memories. Nathalie captures a snug cabin lit by the gentle crackling of logs. She chose cedarwood for it’s warm and dense character, weaving it with resinous frankincense – a scent synonymous with Christmas. A rich, earthy base lends an embracing and comforting finish to a scent that continues to be loved by Molton Brown fans for years to come. Launched in – unknown

Fragrance Construction
Fine Liquid Hand Wash & Lotion
Invigorating cardamom top notes impart fi ne freshness to resinous frankincense and rich woods. Earthy vetiver and patchouli reveals a sensual and full-bodied drydown

TOP
Elemi - Balsamic
Caraway
Pimento

HEART
Frankincense - Warming
Cedarwood
Guaiac wood

BASE
Vetiver - Woody
Patchouli
Sandalwood

OVERARCHING NOTE Frankincense
Frankincense or olibanum, has been treasured for centuries as the ‘pearl of the desert’. It’s a deeply resinous and aromatic sap extracted from Boswellia  sacra trees commonly found in Africa and the Middle East. Ritually burned as incense and used in Ayurvedic medicine, its warming, amber-like qualities feel at home with ambery and woody-spicy fragrances.


What Products Are Available In This Collection?
BODY
Fine Liquid Hand Wash
Hand Lotion

The Ritual
CLEANSE
Invite timeless festive spirit to your everyday with the Fine Liquid Hand Wash. Cleanse hands with the comforting, classic aromas of spice and rich woods
– or present as a thoughtful gift for friends and family.
HYDRATE
Pair with our matching Hand Lotion to deeply moisturise and care for hands throughout the winter season. 

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Woody Warm but fresh, the typical woody notes used in this family are usually sandalwood, cedarwood, patchouli and vetiver.
SECONDARY FRAGRANCE FAMILY - Spicy
Spotlights spices such as cardamom, pink or black pepper, ginger, ginger, nutmeg, cumin and clove to enhance the originality and character of the fragrance. "
Customer Experience_CX Library_Jubilant Pine & a....,"Jubilant Pine & Patchouli
Celebratory. Nostalgic. Seasonal.

This rich, woody-aromatic scent marks the pinnacle of our 50th year celebrations, capturing decades of festive joy, which all began at our South Molton Street salon in London, 1971. Created by Master Perfumer Jacques Chabert, Jubilant Pine & Patchouli captures the welcoming spirit of our salon, its trendsetting clientele and the exciting era of possibility in which we started out. Jacques has worked with us since our early days and crafted one of our most signature collections, Re-charge Black Pepper – we’re proud to still call him a friend. He was inspired by the unique, heartwarming energy of London’s festive countdown and reimagined the sophisticated feeling of South Molton Street on Christmas Eve. Launched in 2021

Fragrance Construction
Eau de Toilette
This joyful fragrance weaves crisp, traditional pine with luscious red fruits. A sprinkle of spicy cinnamon over smooth suede and creamy vanilla lend an irresistible touch

TOP
Pine - Crisp
Cinnamon
Juniper Berries

HEART
Red fruits - Luscious
Amber
Suede

BASE
Patchouli - Rich
Vanilla
Musk

OVERARCHING NOTE Pine
Pine lends a forest-fresh and aromatic touch to the woody accord, as well as a classic Christmas tree facet. With its earthy undertones, pine also forms a rich union with patchouli in the base.

What Products Are Available In This Collection?
FRAGRANCE
Eau de Toilette
BODY
Bath & Shower Gel
Body Lotion
Festive Bauble
HOME
Luxury Candle
Please note that assortment may vary

The Ritual
CLEANSE
Transform your winter bathing ritual into an uplifting experience with the Bath & Shower Gel, shimmering with festive gold flecks.
HYDRATE
Nourish dry skin with our body lotion. Slip out of a warm tub and massage gently into damp skin to seal in hydration and seasonal woody notes.
TREAT
Spritz the Eau de Toilette at pulse points to prolong your celebratory scent trail through joyous gatherings. Add a heartwarming twinkle to your tree with the Festive Bauble or pop into the stocking for a loved one

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Woody
Warm but fresh, the typical woody notes used in this family are usually sandalwood, cedarwood, patchouli and vetiver.
SECONDARY FRAGRANCE FAMILY - Aromatic
A gathering of restorative and herbaceous scents, usually mint, lavender, rosemary, sage, eucalyptus or thyme."
Customer Experience_CX Library_Vintage,"Vintage With Elderflower
Refined. Spirited. Effervescent.
This elegant fragrance is inspired by the vineyards and cellars of vintage cuvée in Champagne-Ardenne, northern France. Senior Perfumer Karine Dubreuil Sereni wanted to capture the ‘effervescence of the festive moment, where decadent nuances of champagne pop in the air, sparkly, refined and spontaneous.’ Unexpected elderflower adds an addictive embellishment to the scent trail.
Launched in 2015

Fragrance Construction
Eau de Toilette
A resplendent toast of uplifting grapefruit at the top marries elegant elderfl ower and warm, sophisticated vetiver in the base.

TOP
Grapefruit - Sparkling
Mandarin
White Currant

HEART
Elderfl ower - Delicate
Coriander
Petitgrain

BASE
Vetiver - Balancing
Tonka Bean
Ambergris

What Products Are Available In This Collection?
FRAGRANCE
Eau de Toilette
BODY
Bath & Shower Gel
Body Lotion
Festive Bauble
HOME
Single Wick Candle
Please note that assortment may vary.

The Ritual
CLEANSE
Slip into the festive mood with the spirited Bath & Shower Gel for a refined soak.
HYDRATE
Moisturise and care for winter skin with the complementing Body Lotion.
TREAT
Complete your elegant ritual with the Eau de Toilette, brighten your haven with the Single Wick Candle and pop the Festive Bauble on your tree for a final glow.

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Floral
One of the most popular and ancient families in perfume history. As its name implies, fl owers take centre stage to create a fragrant bouquet with blossoms such as rose, jasmine, violet, iris, lily, lily of the valley, narcissus or tuberose.
SECONDARY FRAGRANCE FAMILY - Fruity Delicious, fruity notes such as raspberry, peach, lychee, apple and strawberries."
Opulent Collections Quiz,
Opulent Activation,
Labdanum Dusk - Last impressions,
Labdanum Dusk - Focus on the WOW!,
Labdanum Dusk - Eliminating the Ouches,
Labdanum Dusk -First Impression,
Neon Amber - Last Impression,
Neon Amber - Eliminating the Ouches,
Neon Amber -Focus on the WOW!,
Neon Amber -First Impressions     ,
Mesmerising Oudh - Eliminating the Ouches,
Mesmerising Oudh - First Impressions,
Mesmerising Oudh - Focus on the WOW!,
Mesmerising Oudh - Last impressions,
